Area_log,Room,Parking,Warehouse,Elevator,Address,Price_log
4.1588830833596715,1,True,True,True,Shahran,11.029515085530264
4.110873864173311,1,True,True,True,Shahran,11.029515085530264
4.382026634673881,2,True,True,True,Pardis,9.816530537705214
4.564348191467836,2,True,True,True,Shahrake Qods,10.31175971717213
4.820281565605037,2,True,True,True,Shahrake Gharb,12.36022759677688
4.2626798770413155,2,True,True,False,North Program Organization,11.132167554711923
4.477336814478207,2,True,True,True,Pardis,9.90353755128617
4.0943445622221,1,True,True,True,Shahran,11.179795018343691
4.007333185232471,2,True,True,False,Andisheh,9.707127718610812
4.276666119016055,1,True,True,True,West Ferdows Boulevard,11.277215789596893
4.23410650459726,2,True,True,True,West Ferdows Boulevard,11.310413486497572
4.174387269895637,1,True,True,True,Narmak,11.156264806643742
4.007333185232471,1,False,True,True,Narmak,10.939059397388286
4.919980925828125,3,True,True,True,Saadat Abad,12.812211185460383
4.564348191467836,2,True,True,True,Zafar,12.0237571087181
4.1588830833596715,1,False,True,False,Islamshahr,9.852246888342531
5.049856007249537,3,True,True,True,Narmak,12.316425165375648
4.174387269895637,2,False,True,False,Pirouzi,10.785897353211654
4.948759890378168,3,True,True,True,West Ferdows Boulevard,12.270615838531832
3.7612001156935624,1,False,True,False,Pirouzi,10.743638434004732
4.543294782270004,2,True,True,True,Shahrake Gharb,12.36022759677688
4.477336814478207,2,True,True,True,Shahrake Shahid Bagheri,11.330615868104754
4.189654742026425,1,True,True,True,Shahran,11.045600963654106
4.605170185988092,2,True,True,True,Moniriyeh,11.237185138527495
4.663439094112067,2,True,True,True,Saadat Abad,12.381429714817473
5.081404364984463,3,True,True,True,Velenjak,13.118691986087514
4.356708826689592,2,True,True,True,Amirieh,10.98587441807718
4.820281565605037,2,True,True,True,Pirouzi,11.815257205114566
4.709530201312334,2,True,True,True,Southern Janatabad,9.952325334619427
4.61512051684126,2,True,True,True,West Ferdows Boulevard,11.57747339231356
4.51085950651685,2,False,True,False,Salsabil,10.819798284210286
3.912023005428146,1,True,True,True,West Ferdows Boulevard,11.202784127483124
4.574710978503383,2,True,True,True,Zargandeh,12.47762914702042
4.219507705176107,2,True,True,False,Feiz Garden,11.2687412277815
4.23410650459726,2,True,True,True,West Ferdows Boulevard,11.330615868104754
4.143134726391533,1,True,False,True,Water Organization,11.179795018343691
4.02535169073515,1,True,True,True,West Ferdows Boulevard,11.179795018343691
4.709530201312334,2,True,True,True,West Ferdows Boulevard,11.736077016252437
4.867534450455582,2,True,True,True,West Ferdows Boulevard,12.07254696717504
4.700480365792417,2,True,True,True,West Ferdows Boulevard,11.989165855127435
4.07753744390572,1,True,True,True,Saadat Abad,11.638097402003213
4.02535169073515,1,True,True,True,Saadat Abad,11.76239409080542
5.017279836814924,2,False,True,True,Shahrake Qods,10.596659732783579
4.110873864173311,2,True,True,True,,11.388884099255465
4.875197323201151,3,True,True,False,ShahrAra,12.0237571087181
4.48863636973214,2,True,True,True,Gisha,11.9724640890657
3.9512437185814275,1,True,True,True,Gisha,11.506246510326143
4.736198448394496,3,True,True,False,Shahrake Gharb,12.36022759677688
4.709530201312334,2,True,True,True,Ray,11.124823687963431
4.110873864173311,1,True,True,True,Abbasabad,11.314486721293981
4.59511985013459,2,True,True,True,Pardis,9.798182590890704
4.143134726391533,2,False,False,True,Ostad Moein,10.785897353211654
5.017279836814924,3,True,True,True,Farmanieh,12.716901259291694
4.330733340286331,2,False,False,False,Parand,9.960230296664058
4.127134385045092,1,True,True,False,Punak,11.122363796832094
4.127134385045092,1,True,True,False,Punak,11.122363796832094
4.290459441148391,2,True,True,True,Shahran,11.2687412277815
4.61512051684126,2,True,True,True,Qasr-od-Dasht,11.51293546492023
4.812184355372417,3,True,True,True,Aqdasieh,12.388398368982115
5.375278407684165,3,True,True,True,Pakdasht,10.973946049805868
4.624972813284271,2,True,True,True,Railway,11.608244735642321
4.219507705176107,2,True,True,True,Punak,11.44394327199769
4.290459441148391,2,True,True,False,Punak,11.202784127483124
4.1588830833596715,1,True,True,False,Punak,11.202784127483124
4.330733340286331,2,True,True,False,Punak,11.202784127483124
4.700480365792417,2,True,True,True,Shahran,11.667084744760507
4.812184355372417,2,True,True,True,Aqdasieh,12.36022759677688
4.2626798770413155,1,True,True,True,Central Janatabad,11.545724932907996
4.110873864173311,1,True,True,True,West Ferdows Boulevard,11.310413486497572
3.9889840465642745,1,True,True,False,East Ferdows Boulevard,11.06665398721974
4.51085950651685,1,False,True,False,Pakdasht KhatunAbad,10.251829422656254
4.290459441148391,2,True,True,True,Amirieh,10.915106645867503
4.31748811353631,2,True,True,True,Amirieh,10.944959133089895
4.48863636973214,3,False,False,True,Parand,9.834548429604697
4.1588830833596715,1,True,True,True,Punak,11.179795018343691
4.74493212836325,3,True,True,True,Sattarkhan,12.119066704889404
5.0238805208462765,3,True,True,True,Saadat Abad,12.73670383776449
3.7612001156935624,1,True,False,True,Shahran,10.979644087478665
4.31748811353631,2,True,True,True,Amirieh,10.944959133089895
4.48863636973214,3,False,False,True,Parand,9.834548429604697
4.1588830833596715,1,True,True,True,Punak,11.179795018343691
4.74493212836325,3,True,True,True,Sattarkhan,12.119066704889404
5.0238805208462765,3,True,True,True,Saadat Abad,12.73670383776449
3.7612001156935624,1,True,False,True,Shahran,10.979644087478665
5.707110264748875,3,True,True,False,Baghestan,10.819798284210286
4.709530201312334,2,True,True,True,West Ferdows Boulevard,11.730729426011505
